Kod sklepu;Kod segmentu;Data od;Data do;Nazwa planogramu;Wersja planogramu;Opis planogramu;Numer półki;Pozycja;Index;Nazwa;Liczba twarzy;Sposób ekspozycji
Text;Int;Text;Text;Text;Text;Text;Int;Int;Text;Text;Int;Int
shop_planogram_assignment.shop.codes;shop_planogram_assignment.segment.id;shop_planogram_assignment.start_date_time;shop_planogram_assignment.end_date_time;planogram.name;planogram.version;planogram.description;planogram_element.shelf;planogram_element.position;planogram_element.sku.index;planogram_element.sku.name;planogram_element.faces_count;planogram_element.stack_count
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;4;80;12004179;SNACKI WARZYWA & HUMMUS DK 230G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;4;81;12002214;SAŁATKA KUSKUS Z HUMMUSEM 180G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;4;82;12002257;SAŁATKA BULGUR Z HUMMUSEM 180G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;4;83;12004621;SAŁATKA PROTEINOWA QUINOA DK 180G MW;1;2
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;4;84;12005249;SAŁATKA AL DENTE SUSZ.POM. 150G LISNER;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;4;85;12005257;SAŁATKA AL DENTE KURCZ. BROK.150G LISNER;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;5;64;12004331;KANAPKA TRÓJ.TOSKANSKA TOM.PAL 190G M...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;5;65;12000254;KANAPKA TRÓJ CEZAR TOMCIO PALUCH 205G...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;5;66;10990874;KANAPKA TRÓJ JAJKO BEKON TOMCIO 220G ...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;5;67;12003682;BAGIETKA ŚRÓDZIEMNOMOR 250G TOM PA MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;5;68;10990873;BAGIETKA ANDALUZ. TOMCIO PALUCH 210G M...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;5;69;10990872;BAGIETKA HOT STR TOMCIO PALUCH 240G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;5;70;12000229;KAJZERKA Z SZYNKĄ TOMCIO PALUCH 116G M...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;5;71;12000230;KAJZERKA Z JAJKIEM TOMCIO PALUCH 120G ...;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;5;72;12005213;ZK TOST Z SZYNKĄ I SEREM 115G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;5;73;12005184;ZK TOST Z KEBABEM Z KURCZAKA 130G MW;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;5;74;20000235;KANAPKA REGIONALNA 1 REG;1;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;6;51;12004355;SMOOTHIE FOODINI GAZPACHO 250ML MW;2;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;6;52;12003717;SMOOTHIE FOODINI JOGURT ŻÓŁTY 250ML MW;2;1
Z8008;2;2019-11-20 00:00:00;2019-12-20 00:00:00;O_DG_szybko i smacznie_1.0_7;0002;;6;53;12003664;SMOOTHIE FOODINI BEZTR.CZERWONY 250ML ...;1;1
